Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Mahindra,Xuv500 W11,8,76000,Diesel,Automatic (Torque Convertor),1,1191000,1898000,9.3,9.5,8.3,8.6,8.3
Ford,Ecosport Titanium 1.5,11,146000,Diesel,Manual (Regular),1,474000,986000,9.4,9,8,7.7,8.4
Maruti,Suzuki Brezza Plus*,3,20000,Petrol,Manual (Regular),2,1040000,1258000,9.9,9.9,9.7,9.5,9.3
Kia,Sonet 1.0,6,43000,Petrol,Automatic (Dct),1,935000,1289000,9.7,9.7,9,8.8,8.5
Kia,Sonet Anniversary 1.5,4,69000,Diesel,Manual (Regular),1,900000,1165000,9.6,9.4,8.7,8.4,8
Kia,Seltos 1.4*,7,109000,Petrol,Automatic (Dct),2,951000,1669000,9.6,8.8,7.8,8.1,8
Kia,Seltos 1.4*,7,90000,Petrol,Automatic (Dct),1,1049000,1669000,9.7,9.3,7.7,8,8.1
Renault,Duster 110 Ps 4X2,8,86000,Diesel,Manual (Regular),1,655000,1279000,9.6,9.2,8.3,8.6,8.2
Kia,Seltos 1.4,7,64000,Petrol,Manual (Regular),1,1070000,1669000,9.8,9.4,9,8.6,8
Mg,Motors Hector Sharp 1.5 6-Str,4,62000,Petrol,Automatic (Dct),1,1446000,2130800,9.7,9.3,8.9,8.1,8.4
Maruti,Suzuki Fronx 1.0L Mt*,3,12000,Petrol,Manual (Regular),1,998000,1297000,9.9,9.9,9.8,9.2,9.2
Hyundai,Creta 1.6 Crdi*,8,92000,Diesel,Automatic (Torque Convertor),1,997000,1503997,9.5,8.9,8.3,7.7,8
Kia,Seltos 1.5,6,46000,Petrol,Manual (Regular),1,1012000,1329000,9.8,9.6,8.6,8.4,8.3
Kia,Seltos 1.4,3,49000,Petrol,Manual (Regular),1,1449000,1945000,9.8,9.7,9.1,8.4,8.2
Volkswagen,Taigun Highline 1.0 Tsi,4,64000,Petrol,Manual (Regular),1,947000,1456900,9.8,9.6,9.2,8.5,8.4
Kia,Seltos 1.4 Dual Tone,7,37000,Petrol,Automatic (Dct),1,1120000,1669000,9.9,9.6,8.7,8.1,7.9
Hyundai,Creta 1.6,8,48000,Petrol,Manual (Regular),1,949000,1358000,9.8,9.7,8.8,8.4,8.2
Kia,Seltos 1.5,6,112000,Diesel,Automatic (Torque Convertor),1,1042000,1629000,9.5,8.9,7.2,7.6,7.9
Kia,Sonet 1.5,3,57000,Diesel,Manual (Regular),1,945000,1049000,9.7,8.8,9.1,9.1,8.1
Tata,Nexon (S),3,49000,Diesel,Manual (Regular),1,926000,1080000,9.8,9.7,8.9,8.4,8.6
Honda,Elevate Vx,3,40000,Petrol,Manual (Regular),1,1101000,1363000,9.8,9.7,9.2,9.1,8.2
Renault,Kiger,4,93000,Petrol,Manual (Regular),1,567000,799000,9.7,9.3,8.3,8.2,8.1
Mahindra,Xuv 300 1.5,4,47000,Diesel,Manual (Regular),1,1017000,1272000,9.8,8.8,8.9,8.8,8.5
Volkswagen,Taigun Highline 1.0 Tsi,3,18000,Petrol,Manual (Regular),1,1113000,1542000,9.9,9.9,9.7,9.2,9.2
Skoda,Kushaq Style 1.5L Tsi Dsg,4,102000,Petrol,Automatic (Dsg),2,1144000,1759000,9.6,9.2,8.6,8.6,8.3
Kia,Seltos 1.5,4,99000,Diesel,Manual (Regular),1,1149000,1429000,9.4,9.1,8.3,8.6,8.4
Maruti,Suzuki Grand Vitara Smart Hybrid*,4,94000,Petrol,Manual (Regular),1,1115000,1539000,9.7,9.4,8.9,8.2,8.3
Mg,Motors Hector Sharp 1.5 6-Str,4,39000,Petrol,Automatic (Dct),1,1533000,2114800,9.8,9.7,9.2,9.1,8.5
Tata,Nexon (S),5,63000,Petrol,Automatic (Amt),1,834000,1145900,9.5,9,8.6,8.7,8.1
Maruti,Suzuki Vitara Brezza,6,67000,Petrol,Manual (Regular),2,681000,975000,9.8,9.6,9,8.3,8.2
Mahindra,Thar Roxx Ax7 L 2Wd,1,5000,Petrol,Automatic (Torque Convertor),1,2102000,1899000,10,9.9,9.9,9.8,9.5
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,4,44000,Diesel,Automatic (Torque Convertor),1,2024000,2289000,9.8,9.7,9.2,8.8,8.8
Tata,Nexon,4,105000,Diesel,Manual (Regular),1,833000,1139900,9.3,8.4,8.5,7.8,8.6
Kia,Seltos 1.4,6,97000,Petrol,Manual (Regular),2,970000,1729000,9.6,9.1,8.5,7.9,8.4
Mg,Motors Hector Sharp 2.0 6-Str,5,51000,Diesel,Manual (Regular),1,1400000,2008800,9.8,8.9,8.9,8.9,8.4
Maruti,Suzuki Fronx 1.0L 6 At*,2,22000,Petrol,Automatic (Torque Convertor),1,1109000,1304000,9.9,9.7,9.8,9.6,8.9
Renault,Captur Rxl Diesel*,9,95000,Diesel,Manual (Regular),1,598000,1167000,9.3,9.3,7.5,8.1,8.4
Renault,Kiger Dual Tone,4,45000,Petrol,Automatic (Cvt),1,755000,1062000,9.8,9.7,9.4,9.1,8.3
Kia,Seltos 1.5,3,37000,Petrol,Automatic (Dct),1,1658000,1979900,9.9,9.7,9.5,9,8.5
Tata,Punch Creative Flagship Dual Tone Mt*,3,32000,Petrol,Manual (Regular),1,814000,960000,9.9,9.8,9.5,9,8.9
Mg,Motors Hector Sharp Hybrid 1.5,6,80000,Hybrid,Manual (Regular),2,951000,1646000,9.7,9.5,8.2,8.8,8.1
Mahindra,Xuv700 Ax 7 Luxury Pack 7 Str,4,49000,Diesel,Manual (Regular),1,1934000,2159000,9.8,9.7,8.3,8.4,7.7
Maruti,Suzuki Brezza,4,47000,Petrol,Automatic (Torque Convertor),1,1014000,1244000,9.8,9.7,8.6,8.7,7.9
Maruti,Suzuki Brezza,3,71000,Petrol,Manual (Regular),1,1008000,1248000,9.7,9.5,9.1,8.6,8.3
Renault,Kiger Dual Tone,4,29000,Petrol,Automatic (Cvt),1,796000,1077000,9.8,9.7,9.2,8.9,8.5
Maruti,Suzuki Brezza,4,55000,Petrol,Manual (Regular),2,921000,1248000,9.8,9.6,9,8.6,8.3
Mahindra,Xuv 300 1.2,3,28000,Petrol,Manual (Regular),1,990000,1315000,9.9,9.8,9.1,9.2,9
Hyundai,Creta 1.6,8,49000,Petrol,Manual (Regular),2,822000,1199000,9.8,9.6,9,8.5,8.6
Hyundai,Creta 1.6,8,100000,Petrol,Manual (Regular),1,751000,1199000,9.6,9.3,8.6,8.5,8.5
Tata,Nexon,4,32000,Diesel,Automatic (Amt),1,1089000,1324900,9.9,9.7,9.3,8.6,8.5
Maruti,Suzuki Vitara Brezza Shvs,6,68000,Petrol,Automatic (Torque Convertor),1,819000,1114000,9.5,9.4,8.3,8.1,8.1
Renault,Kiger Dual Tone,5,21000,Petrol,Automatic (Amt),1,617000,812000,9.8,9.5,9.1,8.9,8.9
Renault,Kiger 1.0 Dual Tone,4,45000,Petrol,Manual (Regular),1,650000,952000,9.8,9.7,9.1,9.2,8.3
