Name,Brand,Model,Variant,Make_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Insurance_Validity,Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Estimated_Original_Price
2020 Kia Seltos HTX 1.5,Kia,Seltos 1.5,HTX,Aug 2020,46K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep 2028,10.12 Lakh,9.8,9.6,8.6,8.4,8.3,1329000
2023 Kia Seltos GTX Plus 1.4,Kia,Seltos 1.4,GTX PLUS,Jan 2023,49K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,14.49 Lakh,9.8,9.7,9.1,8.4,8.2,1945000
2022 Volkswagen Taigun Highline 1.0 TSI MT,Volkswagen,Taigun Highline 1.0 Tsi,MT,Feb 2022,64K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,9.47 Lakh,9.8,9.6,9.2,8.5,8.4,1456900
2019 Kia Seltos GTX DCT 1.4 Dual Tone,Kia,Seltos 1.4 Dual Tone,GTX DCT,Aug 2019,37K km,Petrol (BSIV),Automatic (DCT),1st Owner,Apr 2027,11.20 Lakh,9.9,9.6,8.7,8.1,7.9,1669000
2018 Hyundai Creta SX 1.6 (O) Petrol,Hyundai,Creta 1.6,SX (O) PETROL,May 2018,48K km,Petrol (BSIV),Manual (Regular),1st Owner,Apr 2027,9.49 Lakh,9.8,9.7,8.8,8.4,8.2,1358000
2020 Kia Seltos HTX Plus AT 1.5 Diesel,Kia,Seltos 1.5,HTX PLUS AT DIESEL,Jan 2020,112K km,Diesel,Automatic (Torque Convertor),1st Owner,Apr 2027,10.42 Lakh,9.5,8.9,7.2,7.6,7.9,1629000
2023 Kia Sonet HTK Plus 1.5,Kia,Sonet 1.5,HTK PLUS,Feb 2023,57K km,Diesel (BSVI),Manual (Regular),1st Owner,Apr 2027,9.45 Lakh,9.7,8.8,9.1,9.1,8.1,1049000
2023 Tata Nexon XM Plus (S) Diesel,Tata,Nexon (S),XM PLUS DIESEL,Jan 2023,49K km,Diesel (BSVI),Manual (Regular),1st Owner,Feb 2027,9.26 Lakh,9.8,9.7,8.9,8.4,8.6,1080000
2023 Honda Elevate VX MT,Honda,Elevate Vx,MT,Sep 2023,40K km,Petrol (BSVI),Manual (Regular),1st Owner,Sep 2026,11.01 Lakh,9.8,9.7,9.2,9.1,8.2,1363000
2022 Renault Kiger RXZ MT,Renault,Kiger,RXZ MT,May 2022,93K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,5.67 Lakh,9.7,9.3,8.3,8.2,8.1,799000
2022 Mahindra XUV 300 W8 (O) 1.5 Diesel,Mahindra,Xuv 300 1.5,W8 (O) DIESEL,Jul 2022,47K km,Diesel (BSVI),Manual (Regular),1st Owner,Feb 2027,10.17 Lakh,9.8,8.8,8.9,8.8,8.5,1272000
2023 Volkswagen Taigun Highline 1.0 TSI MT,Volkswagen,Taigun Highline 1.0 Tsi,MT,Jul 2023,18K km,Petrol (BSVI),Manual (Regular),1st Owner,Apr 2027,11.13 Lakh,9.9,9.9,9.7,9.2,9.2,1542000
2022 Skoda Kushaq Style 1.5L TSI DSG,Skoda,Kushaq Style 1.5L Tsi Dsg,,Jun 2022,102K km,Petrol (BSIV),Automatic (DSG),2nd Owner,Apr 2027,11.44 Lakh,9.6,9.2,8.6,8.6,8.3,1759000
