Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score,Depreciation_Percent,Price_Lost_Per_Year,Km_Per_Year,Ownership_Impact,Luxury_Score,Wear_Price_Ratio,Total_Feature_Score
Kia,Seltos 1.5,6,120000,Diesel,Automatic (Torque Convertor),2,1080000,1649000,9.6,9.1,7.6,8.1,8.5,34.50576106731352,94833.33333333333,20000.0,12,8.6,7.87037037037037e-06,42.9
Kia,Seltos 1.5,6,66000,Petrol,Manual (Regular),1,1006000,1334000,9.8,9.6,8.9,8.9,8.3,24.587706146926536,54666.666666666664,11000.0,6,9.299999999999999,8.250497017892645e-06,45.5
Kia,Seltos 1.4,7,106000,Petrol,Automatic (Dct),1,1005000,1669000,9.6,9.2,8.2,8.0,7.4,39.78430197723187,94857.14285714286,15142.857142857143,7,8.75,7.36318407960199e-06,42.4
Mg,Motors Hector Sharp 1.5,4,64000,Petrol,Automatic (Cvt),1,1374000,1988800,9.8,9.6,9.3,9.3,8.3,30.913113435237328,153700.0,16000.0,4,9.5,6.04075691411936e-06,46.3
Maruti,Suzuki Fronx 1.0L 6,3,88000,Petrol,Automatic (Torque Convertor),1,947000,1314000,9.7,9.4,8.5,7.9,7.3,27.92998477929985,122333.33333333333,29333.333333333332,3,8.875,7.708553326293558e-06,42.8
Kia,Seltos 1.5,5,120000,Diesel,Automatic (Torque Convertor),1,1243000,1749000,9.5,8.5,8.2,8.7,8.6,28.930817610062892,101200.0,24000.0,5,8.725,6.918744971842317e-06,43.5
Volkswagen,Taigun Highline 1.0 Tsi,4,62000,Petrol,Manual (Regular),1,949000,1549900,9.8,9.6,9.1,8.8,8.3,38.77024324149945,150225.0,15500.0,4,9.325,8.74604847207587e-06,45.599999999999994
Volkswagen,Taigun Topline 1.0 Tsi Mt*,5,120000,Petrol,Manual (Regular),1,947000,1549900,9.3,9.2,7.6,8.1,7.4,38.89928382476289,120580.0,24000.0,5,8.55,7.81414994720169e-06,41.6
Hyundai,Creta 1.5,6,52000,Diesel,Manual (Regular),2,1246000,1720000,9.7,9.5,9.3,8.9,8.5,27.55813953488372,79000.0,8666.666666666666,12,9.35,6.821829855537721e-06,45.9
Ford,Ecosport Titanium 1.5L Ti-Vct,10,111000,Petrol,Manual (Regular),1,509000,948500,9.6,9.2,8.3,8.1,8.6,46.3363205060622,43950.0,11100.0,10,8.799999999999999,1.6895874263261297e-05,43.8
Kia,Seltos 1.5*,4,47000,Petrol,Manual (Regular),1,1192000,1449000,9.8,9.6,8.9,8.6,8.4,17.736369910282953,64250.0,11750.0,4,9.225,7.046979865771813e-06,45.3
Kia,Seltos 1.5,4,49000,Diesel,Automatic (Torque Convertor),2,1444000,1545000,9.8,9.6,9.4,9.1,8.2,6.5372168284789645,25250.0,12250.0,8,9.475,5.6786703601108025e-06,46.099999999999994
Hyundai,Venue 1.2,1,6000,Petrol,Manual (Regular),1,1124000,1113000,10.0,10.0,9.9,9.7,9.6,-0.9883198562443846,-11000.0,6000.0,1,9.899999999999999,8.540925266903914e-06,49.199999999999996
Maruti,Suzuki S-Cross 1.3,9,95000,Diesel,Manual (Regular),1,581000,1045000,9.3,9.4,8.2,8.1,8.0,44.40191387559808,51555.555555555555,10555.555555555555,9,8.75,1.3769363166953529e-05,43.0
Nissan,Magnite Xv,4,32000,Petrol,Automatic (Cvt),1,807000,1000000,9.9,9.7,9.5,8.7,8.7,19.3,48250.0,8000.0,4,9.45,1.0780669144981412e-05,46.5
Kia,Sonet 1.2,3,11000,Petrol,Manual (Regular),1,846000,989000,9.9,9.9,9.8,9.6,9.4,14.459049544994945,47666.666666666664,3666.6666666666665,3,9.8,1.1111111111111112e-05,48.6
Maruti,Suzuki Vitara Brezza Zdi+ Dual Tone,9,105000,Diesel,Manual (Regular),1,686000,991000,9.6,9.3,8.3,7.7,8.1,30.77699293642785,33888.88888888889,11666.666666666666,9,8.725,1.1807580174927114e-05,43.0
Kia,Sonet 1.5,5,46000,Diesel,Manual (Regular),1,917000,1039000,9.7,9.5,8.8,9.0,8.2,11.742059672762272,24400.0,9200.0,5,9.25,8.942202835332606e-06,45.2
Hyundai,Alcazar Signature 6 Str 1.5 Diesel*,4,70000,Diesel,Manual (Regular),1,1451000,1965000,9.7,9.1,9.0,9.0,8.5,26.157760814249365,128500.0,17500.0,4,9.2,5.8580289455547896e-06,45.3
