Brand,Model,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Price,Estimated_Original_Price,Core_Systems_Score,Supporting_Systems_Score,Interiors_AC_Score,Exteriors_Lights_Score,Wear_Tear_Parts_Score
Kia,Seltos 1.5,6,112000.0,Diesel,Automatic (Torque Convertor),1.0,1042000.0,1629000,9.5,8.9,7.2,7.6,7.9
Kia,Sonet 1.5,3,57000.0,Diesel,Manual (Regular),1.0,944999.9999999999,1049000,9.7,8.8,9.1,9.1,8.1
Tata,Nexon (S),3,49000.0,Diesel,Manual (Regular),1.0,926000.0,1080000,9.8,9.7,8.9,8.4,8.6
Honda,Elevate Vx,3,40000.0,Petrol,Manual (Regular),1.0,1101000.0,1363000,9.8,9.7,9.2,9.1,8.2
Renault,Kiger,4,93000.0,Petrol,Manual (Regular),1.0,567000.0,799000,9.7,9.3,8.3,8.2,8.1
Mahindra,Xuv 300 1.5,4,47000.0,Diesel,Manual (Regular),1.0,1017000.0,1272000,9.8,8.8,8.9,8.8,8.5
Volkswagen,Taigun Highline 1.0 Tsi,3,18000.0,Petrol,Manual (Regular),1.0,1113000.0,1542000,9.9,9.9,9.7,9.2,9.2
Skoda,Kushaq Style 1.5L Tsi Dsg,4,102000.0,Petrol,Automatic (Dsg),2.0,1144000.0,1759000,9.6,9.2,8.6,8.6,8.3
Kia,Seltos 1.5,4,99000.0,Diesel,Manual (Regular),1.0,1149000.0,1429000,9.4,9.1,8.3,8.6,8.4
Maruti,Suzuki Grand Vitara Smart Hybrid*,4,94000.0,Petrol,Manual (Regular),1.0,1115000.0,1539000,9.7,9.4,8.9,8.2,8.3
Mg,Motors Hector Sharp 1.5 6-Str,4,39000.0,Petrol,Automatic (Dct),1.0,1533000.0,2114800,9.8,9.7,9.2,9.1,8.5
Tata,Nexon (S),5,63000.0,Petrol,Automatic (Amt),1.0,834000.0,1145900,9.5,9.0,8.6,8.7,8.1
Maruti,Suzuki Vitara Brezza,6,67000.0,Petrol,Manual (Regular),2.0,681000.0,975000,9.8,9.6,9.0,8.3,8.2
Mahindra,Thar Roxx Ax7 L 2Wd,1,5000.0,Petrol,Automatic (Torque Convertor),1.0,2102000.0,1899000,10.0,9.9,9.9,9.8,9.5
